Manufacturer,Lens Family,Focal Length,Speed,Close Focus,Mount,Coverage,Image Circle,Anamorphic Squeeze,Outer Diameter,Filter Thread,Weight,Lens Type,Notes,Lens Specialty,photo,description,Hybrid
Cooke,SP3,25mm,T2.4,5.5”,E Mount or RF Mount,Full Frame,,1x,80mm / 64mm,77mm / 58mm,1.27lbs,Prime,"Our set uses the 80mm accessory rings from Duclos. This gives each lens a consistent 80mm O.D. for use with matte boxes, and a 77mm internal thread for additional filters. Our sizing chart lists both Duclos and factory O.D.s / filter threads. <p><a href=/lens?family=SP3>More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/94b81f96-7c5f-4e54-be7d-8a135d4b5e8a/BO7A7916++2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e6a137bc-e53d-4d26-b81c-bf5bc513b405/BO7A7828++2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/39ffe9f7-cf7f-45d9-9d08-387536cdca57/BO7A7917++2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e0e302a0-2271-4d40-b83f-2cb346fe7e9c/BO7A7883++2-1.jpg?content-type=image%2Fjpeg","The Cooke SP3 primes are a compact, modern reimagining of the classic Speed Panchros. Designed for full-frame coverage, they deliver the renowned Cooke Look in a small form factor. Featuring sharp on-axis detail, gentle focus fall-off across the field, and consistent color matching for seamless integration with other SP3 sets or vintage Speed Panchros. Each lens features standardized 0.8 MOD gearing, a nine-blade iris assembly for pleasing bokeh, and includes Duclos accessory rings to ensure a smooth, efficient workflow on set. Our set is available in both Sony E and Canon RF mounts, with mount changes available upon request.",Yes
Cooke,SP3,32mm,T2.4,8.8”,E Mount or RF Mount,Full Frame,,1x,80mm / 64mm,77mm / 58mm,1.15lbs,Prime,"Our set uses the 80mm accessory rings from Duclos. This gives each lens a consistent 80mm O.D. for use with matte boxes, and a 77mm internal thread for additional filters. Our sizing chart lists both Duclos and factory O.D.s / filter threads. <p><a href=/lens?family=SP3>More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/94b81f96-7c5f-4e54-be7d-8a135d4b5e8a/BO7A7916++2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e6a137bc-e53d-4d26-b81c-bf5bc513b405/BO7A7828++2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/39ffe9f7-cf7f-45d9-9d08-387536cdca57/BO7A7917++2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e0e302a0-2271-4d40-b83f-2cb346fe7e9c/BO7A7883++2-1.jpg?content-type=image%2Fjpeg","The Cooke SP3 primes are a compact, modern reimagining of the classic Speed Panchros. Designed for full-frame coverage, they deliver the renowned Cooke Look in a small form factor. Featuring sharp on-axis detail, gentle focus fall-off across the field, and consistent color matching for seamless integration with other SP3 sets or vintage Speed Panchros. Each lens features standardized 0.8 MOD gearing, a nine-blade iris assembly for pleasing bokeh, and includes Duclos accessory rings to ensure a smooth, efficient workflow on set. Our set is available in both Sony E and Canon RF mounts, with mount changes available upon request.",Yes
Cooke,SP3,50mm,T2.4,15.5”,E Mount or RF Mount,Full Frame,,1x,80mm / 64mm,77mm / 58mm,1.10lbs,Prime,"Our set uses the 80mm accessory rings from Duclos. This gives each lens a consistent 80mm O.D. for use with matte boxes, and a 77mm internal thread for additional filters. Our sizing chart lists both Duclos and factory O.D.s / filter threads. <p><a href=/lens?family=SP3>More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/94b81f96-7c5f-4e54-be7d-8a135d4b5e8a/BO7A7916++2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e6a137bc-e53d-4d26-b81c-bf5bc513b405/BO7A7828++2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/39ffe9f7-cf7f-45d9-9d08-387536cdca57/BO7A7917++2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e0e302a0-2271-4d40-b83f-2cb346fe7e9c/BO7A7883++2-1.jpg?content-type=image%2Fjpeg","The Cooke SP3 primes are a compact, modern reimagining of the classic Speed Panchros. Designed for full-frame coverage, they deliver the renowned Cooke Look in a small form factor. Featuring sharp on-axis detail, gentle focus fall-off across the field, and consistent color matching for seamless integration with other SP3 sets or vintage Speed Panchros. Each lens features standardized 0.8 MOD gearing, a nine-blade iris assembly for pleasing bokeh, and includes Duclos accessory rings to ensure a smooth, efficient workflow on set. Our set is available in both Sony E and Canon RF mounts, with mount changes available upon request.",Yes
Cooke,SP3,75mm,T2.4,27.1”,E Mount or RF Mount,Full Frame,,1x,80mm / 64mm,77mm / 58mm,1.15lbs,Prime,"Our set uses the 80mm accessory rings from Duclos. This gives each lens a consistent 80mm O.D. for use with matte boxes, and a 77mm internal thread for additional filters. Our sizing chart lists both Duclos and factory O.D.s / filter threads. <p><a href=/lens?family=SP3>More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/94b81f96-7c5f-4e54-be7d-8a135d4b5e8a/BO7A7916++2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e6a137bc-e53d-4d26-b81c-bf5bc513b405/BO7A7828++2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/39ffe9f7-cf7f-45d9-9d08-387536cdca57/BO7A7917++2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e0e302a0-2271-4d40-b83f-2cb346fe7e9c/BO7A7883++2-1.jpg?content-type=image%2Fjpeg","The Cooke SP3 primes are a compact, modern reimagining of the classic Speed Panchros. Designed for full-frame coverage, they deliver the renowned Cooke Look in a small form factor. Featuring sharp on-axis detail, gentle focus fall-off across the field, and consistent color matching for seamless integration with other SP3 sets or vintage Speed Panchros. Each lens features standardized 0.8 MOD gearing, a nine-blade iris assembly for pleasing bokeh, and includes Duclos accessory rings to ensure a smooth, efficient workflow on set. Our set is available in both Sony E and Canon RF mounts, with mount changes available upon request.",Yes
Cooke,SP3,100mm,T2.4,26.1”,E Mount or RF Mount,Full Frame,,1x,80mm / 82mm,77mm,1.52lbs,Prime,"Our set uses the 80mm accessory rings from Duclos. This gives each lens a consistent 80mm O.D. for use with matte boxes, and a 77mm internal thread for additional filters. Our sizing chart lists both Duclos and factory O.D.s / filter threads. <p><a href=/lens?family=SP3>More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/94b81f96-7c5f-4e54-be7d-8a135d4b5e8a/BO7A7916++2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e6a137bc-e53d-4d26-b81c-bf5bc513b405/BO7A7828++2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/39ffe9f7-cf7f-45d9-9d08-387536cdca57/BO7A7917++2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e0e302a0-2271-4d40-b83f-2cb346fe7e9c/BO7A7883++2-1.jpg?content-type=image%2Fjpeg","The Cooke SP3 primes are a compact, modern reimagining of the classic Speed Panchros. Designed for full-frame coverage, they deliver the renowned Cooke Look in a small form factor. Featuring sharp on-axis detail, gentle focus fall-off across the field, and consistent color matching for seamless integration with other SP3 sets or vintage Speed Panchros. Each lens features standardized 0.8 MOD gearing, a nine-blade iris assembly for pleasing bokeh, and includes Duclos accessory rings to ensure a smooth, efficient workflow on set. Our set is available in both Sony E and Canon RF mounts, with mount changes available upon request.",Yes
Cooke,Speed Panchro,18mm,T2.2,"8""",PL,Super 35,,1x,110mm,N/A,1.8lbs,Prime,"TLS Rehoused <p><a href=""/lens?family=Speed%20Panchro"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/111f6e20-d99c-481d-8a92-e0f0e6da674c/5S5A5133+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/4e0ad11d-19a6-463e-aa3d-57dfb30ae0f1/5S5A5141+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/34fed6c1-331e-45b2-a608-cb283aa59b02/5S5A5149+copy.jpg?content-type=image%2Fjpeg","The Cooke Speed Panchro lenses were first introduced in the 1920s. These lenses became renowned for their smooth focus, sharpness, and warm color rendition, and they are still highly regarded for their vintage look in modern cinematography.",
Cooke,Speed Panchro,25mm,T2.2,"7""",PL,Super 35,,1x,110mm,N/A,1.91lbs,Prime,"TLS Rehoused <p><a href=""/lens?family=Speed%20Panchro"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/111f6e20-d99c-481d-8a92-e0f0e6da674c/5S5A5133+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/4e0ad11d-19a6-463e-aa3d-57dfb30ae0f1/5S5A5141+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/34fed6c1-331e-45b2-a608-cb283aa59b02/5S5A5149+copy.jpg?content-type=image%2Fjpeg","The Cooke Speed Panchro lenses were first introduced in the 1920s. These lenses became renowned for their smooth focus, sharpness, and warm color rendition, and they are still highly regarded for their vintage look in modern cinematography.",
Cooke,Speed Panchro,32mm,T2.3,"9""",PL,Super 35,,1x,110mm,N/A,1.86lbs,Prime,"TLS Rehoused <p><a href=""/lens?family=Speed%20Panchro"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/111f6e20-d99c-481d-8a92-e0f0e6da674c/5S5A5133+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/4e0ad11d-19a6-463e-aa3d-57dfb30ae0f1/5S5A5141+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/34fed6c1-331e-45b2-a608-cb283aa59b02/5S5A5149+copy.jpg?content-type=image%2Fjpeg","The Cooke Speed Panchro lenses were first introduced in the 1920s. These lenses became renowned for their smooth focus, sharpness, and warm color rendition, and they are still highly regarded for their vintage look in modern cinematography.",
Cooke,Speed Panchro,40mm,T2.3,"13""",PL,Ultra 35,,1x,110mm,N/A,1.91lbs,Prime,"TLS Rehoused <p><a href=""/lens?family=Speed%20Panchro"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/111f6e20-d99c-481d-8a92-e0f0e6da674c/5S5A5133+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/4e0ad11d-19a6-463e-aa3d-57dfb30ae0f1/5S5A5141+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/34fed6c1-331e-45b2-a608-cb283aa59b02/5S5A5149+copy.jpg?content-type=image%2Fjpeg","The Cooke Speed Panchro lenses were first introduced in the 1920s. These lenses became renowned for their smooth focus, sharpness, and warm color rendition, and they are still highly regarded for their vintage look in modern cinematography.",
Cooke,Speed Panchro,50mm,T2.3,"15""",PL,Full Frame,,1x,110mm,N/A,2.28lbs,Prime,"TLS Rehoused <p><a href=""/lens?family=Speed%20Panchro"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/111f6e20-d99c-481d-8a92-e0f0e6da674c/5S5A5133+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/4e0ad11d-19a6-463e-aa3d-57dfb30ae0f1/5S5A5141+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/34fed6c1-331e-45b2-a608-cb283aa59b02/5S5A5149+copy.jpg?content-type=image%2Fjpeg","The Cooke Speed Panchro lenses were first introduced in the 1920s. These lenses became renowned for their smooth focus, sharpness, and warm color rendition, and they are still highly regarded for their vintage look in modern cinematography.",
Cooke,Speed Panchro,75mm,T2.3,"2'4""",PL,Full Frame,,1x,110mm,N/A,3.16lbs,Prime,"TLS Rehoused <p><a href=""/lens?family=Speed%20Panchro"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/111f6e20-d99c-481d-8a92-e0f0e6da674c/5S5A5133+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/4e0ad11d-19a6-463e-aa3d-57dfb30ae0f1/5S5A5141+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/34fed6c1-331e-45b2-a608-cb283aa59b02/5S5A5149+copy.jpg?content-type=image%2Fjpeg","The Cooke Speed Panchro lenses were first introduced in the 1920s. These lenses became renowned for their smooth focus, sharpness, and warm color rendition, and they are still highly regarded for their vintage look in modern cinematography.",
Cooke,Speed Panchro,100mm,T2.8,2',PL,Full Frame,,1x,110mm,N/A,3.98lbs,Prime,"TLS Rehoused <p><a href=""/lens?family=Speed%20Panchro"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/111f6e20-d99c-481d-8a92-e0f0e6da674c/5S5A5133+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/4e0ad11d-19a6-463e-aa3d-57dfb30ae0f1/5S5A5141+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/34fed6c1-331e-45b2-a608-cb283aa59b02/5S5A5149+copy.jpg?content-type=image%2Fjpeg","The Cooke Speed Panchro lenses were first introduced in the 1920s. These lenses became renowned for their smooth focus, sharpness, and warm color rendition, and they are still highly regarded for their vintage look in modern cinematography.",
Director's Finder,Arri,Spherical Finder,N/A,N/A,PL,Super 35,,1x,N/A,N/A,,Finder,"<p><a href=""/lens?family=Arri"">More Info</a></p>",Yes,https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/f1c03c1d-23c7-4d7d-bb26-9a551cb1b23c/5S5A5075+copy+2.jpg?content-type=image%2Fjpeg,,
Director's Finder,Kish Optics,Spherical Finder,N/A,N/A,PL,Super 35,,1x,N/A,N/A,2.4lbs,Finder,"<p><a href=""/lens?family=Kish%20Optics"">More Info</a></p>",Yes,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/c546b3c5-82b6-4787-be2e-c82304c76f51/5S5A5263Edit+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e1cefe3c-23fd-4cef-b36d-87373e749e44/5S5A5289Edit+copy+2.jpg?content-type=image%2Fjpeg",,
Director's Finder,Kish Optics,Anamorphic/Spherical,N/A,N/A,PL,Super 35,,2x,N/A,N/A,2.6lbs,Finder,"Has an 2x anamorphic element that can be engaged with a lever <p><a href=""/lens?family=Kish%20Optics"">More Info</a></p>",Yes,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/c546b3c5-82b6-4787-be2e-c82304c76f51/5S5A5263Edit+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e1cefe3c-23fd-4cef-b36d-87373e749e44/5S5A5289Edit+copy+2.jpg?content-type=image%2Fjpeg",,
Director's Finder,Optica Magnus,Spherical/Anamorphic,N/A,N/A,PL or LPL,Full Frame,,1.8x-2x,N/A,N/A,4.2lbs,Finder,"Custom framelines can be printed in house allowing for any camera/frame combination you want. The combination anamorphic block can be easily installed allowing for a desqueeze of 1.8x and 2x. <p><a href=""/lens?family=Optica%20Magnus"">More Info</a></p>",Yes,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/9c071579-9324-4df4-b4c1-144e81a65ed8/5S5A5058+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/b10eef7b-c5c2-4fff-b3be-e29f5b4e9036/5S5A5047+copy.jpg?content-type=image%2Fjpeg","The Optica Magnus Full Frame Director’s Finder is a precision optical tool designed to preview framing, depth of field, and lens characteristics with exceptional accuracy. It features interchangeable PL and LPL mounts, an optional user-installed anamorphic block, and supports custom printable framelines for virtually any camera system or aspect ratio. Rugged yet lightweight, it’s an indispensable on-set companion for directors and cinematographers working across a wide range of formats.",
Fujinon,Premista,28-100mm,T2.9,"2'7""",PL,Full Frame,,1x,114mm,111mm,8.4lbs,Zoom,"<p><a href=""/lens?family=Premista"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/15667a0e-473c-419e-a89d-6bc7823de9b4/5S5A3443+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/973e7ce6-a561-40a5-b98b-e97756a3698c/5S5A3459+copy.jpg?content-type=image%2Fjpeg","Fujinon Premista lenses are premium full-frame cinema zooms that deliver outstanding optical performance with the versatility of a zoom and the quality of a prime. Covering large-format sensors, they offer consistent sharpness, minimal distortion, and smooth, natural bokeh across the entire focal range. Built with robust mechanics and precise control, the Premista series is ideal for high-end productions demanding both flexibility and cinematic image quality.",
Fujinon,Cabrio,19-90mm,T2.9,"2'9""",PL,Super 35,,1x,114mm,111mm,6.2lbs,Zoom,"Weight includes detatchable servo unit <p><a href=""/lens?family=Cabrio"">More Info</a></p>
",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/a55bfee7-3474-4d51-b8ef-eb64bdb5e7ec/5S5A2852+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/0ff4c382-2722-4b2f-ba16-05bb94274822/5S5A2810+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/9473887a-058c-4872-ade4-c272fc75dfdf/5S5A3070+copy.jpg?content-type=image%2Fjpeg","Fujinon Cabrio Zooms are versatile Super 35 cine-style zoom lenses that combine high-end optics with built-in servo controls, making them ideal for both cinema and broadcast-style shooting. Known for their sharpness, minimal breathing, and consistent color, Cabrio lenses like the 19–90mm, 85–300mm, and 20–120mm offer flexible focal ranges in a compact, lightweight design. With switchable ENG-style operation and manual control, they’re a favorite for run-and-gun, documentary, and handheld work.",
Fujinon,Cabrio,20-120mm,T3.5,"3'7""",PL,Super 35,,1x,114mm,N/A,6.4lbs,Zoom,"Weight includes detatchable servo unit <p><a href=""/lens?family=Cabrio"">More Info</a></p>
",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/a55bfee7-3474-4d51-b8ef-eb64bdb5e7ec/5S5A2852+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/0ff4c382-2722-4b2f-ba16-05bb94274822/5S5A2810+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/9473887a-058c-4872-ade4-c272fc75dfdf/5S5A3070+copy.jpg?content-type=image%2Fjpeg","Fujinon Cabrio Zooms are versatile Super 35 cine-style zoom lenses that combine high-end optics with built-in servo controls, making them ideal for both cinema and broadcast-style shooting. Known for their sharpness, minimal breathing, and consistent color, Cabrio lenses like the 19–90mm, 85–300mm, and 20–120mm offer flexible focal ranges in a compact, lightweight design. With switchable ENG-style operation and manual control, they’re a favorite for run-and-gun, documentary, and handheld work.",
Fujinon,Cabrio,85-300mm,T2.9,"3'11""",PL,Super 35,,1x,114mm,111mm,6.8lbs,Zoom,"Weight includes detatchable servo unit <p><a href=""/lens?family=Cabrio"">More Info</a></p>
",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/a55bfee7-3474-4d51-b8ef-eb64bdb5e7ec/5S5A2852+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/0ff4c382-2722-4b2f-ba16-05bb94274822/5S5A2810+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/9473887a-058c-4872-ade4-c272fc75dfdf/5S5A3070+copy.jpg?content-type=image%2Fjpeg","Fujinon Cabrio Zooms are versatile Super 35 cine-style zoom lenses that combine high-end optics with built-in servo controls, making them ideal for both cinema and broadcast-style shooting. Known for their sharpness, minimal breathing, and consistent color, Cabrio lenses like the 19–90mm, 85–300mm, and 20–120mm offer flexible focal ranges in a compact, lightweight design. With switchable ENG-style operation and manual control, they’re a favorite for run-and-gun, documentary, and handheld work.",
Innovision,Probe II Plus,9mm,T6.3,Macro,PL,Super 35,,1x,N/A,40.5mm (internal),4.2lbs,Prime,"The kit includes the extender module, 90-degree module, and all objective lenses. <p><a href=""/lens?family=Probe%20II%20Plus"">More Info</a></p>",Yes,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/2339eca0-8b6c-4194-b974-8d9ba0f8ed6b/5S5A5327+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/8510072f-d4b4-4c67-8246-4710a50e86c4/5S5A5291+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/ae5eeb97-69ef-47f6-be47-8c44bf948e36/5S5A5281+copy.jpg?content-type=image%2Fjpeg","The Innovision Probe II is a specialized lens system designed for extreme close-up and unique point-of-view shots that would be impossible with conventional lenses. Featuring a long, slim barrel and relay optics, it allows operators to capture detailed macro imagery in tight or inaccessible spaces. With interchangeable lens tips and a rotating front element, the Probe II offers unmatched versatility for tabletop, product, and visual effects cinematography.",
Innovision,Probe II Plus,12mm,T6.3,Macro,PL,Super 35,,1x,N/A,40.5mm (internal),4.2lbs,Prime,"The kit includes the extender module, 90-degree module, and all objective lenses. <p><a href=""/lens?family=Probe%20II%20Plus"">More Info</a></p>",Yes,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/2339eca0-8b6c-4194-b974-8d9ba0f8ed6b/5S5A5327+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/8510072f-d4b4-4c67-8246-4710a50e86c4/5S5A5291+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/ae5eeb97-69ef-47f6-be47-8c44bf948e36/5S5A5281+copy.jpg?content-type=image%2Fjpeg","The Innovision Probe II is a specialized lens system designed for extreme close-up and unique point-of-view shots that would be impossible with conventional lenses. Featuring a long, slim barrel and relay optics, it allows operators to capture detailed macro imagery in tight or inaccessible spaces. With interchangeable lens tips and a rotating front element, the Probe II offers unmatched versatility for tabletop, product, and visual effects cinematography.",
Innovision,Probe II Plus,16mm,T6.3,Macro,PL,Super 35,,1x,N/A,40.5mm (internal),4.2lbs,Prime,"The kit includes the extender module, 90-degree module, and all objective lenses. <p><a href=""/lens?family=Probe%20II%20Plus"">More Info</a></p>",Yes,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/2339eca0-8b6c-4194-b974-8d9ba0f8ed6b/5S5A5327+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/8510072f-d4b4-4c67-8246-4710a50e86c4/5S5A5291+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/ae5eeb97-69ef-47f6-be47-8c44bf948e36/5S5A5281+copy.jpg?content-type=image%2Fjpeg","The Innovision Probe II is a specialized lens system designed for extreme close-up and unique point-of-view shots that would be impossible with conventional lenses. Featuring a long, slim barrel and relay optics, it allows operators to capture detailed macro imagery in tight or inaccessible spaces. With interchangeable lens tips and a rotating front element, the Probe II offers unmatched versatility for tabletop, product, and visual effects cinematography.",
Innovision,Probe II Plus,20mm,T6.3,Macro,PL,Super 35,,1x,N/A,40.5mm (internal),4.2lbs,Prime,"The kit includes the extender module, 90-degree module, and all objective lenses. <p><a href=""/lens?family=Probe%20II%20Plus"">More Info</a></p>",Yes,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/2339eca0-8b6c-4194-b974-8d9ba0f8ed6b/5S5A5327+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/8510072f-d4b4-4c67-8246-4710a50e86c4/5S5A5291+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/ae5eeb97-69ef-47f6-be47-8c44bf948e36/5S5A5281+copy.jpg?content-type=image%2Fjpeg","The Innovision Probe II is a specialized lens system designed for extreme close-up and unique point-of-view shots that would be impossible with conventional lenses. Featuring a long, slim barrel and relay optics, it allows operators to capture detailed macro imagery in tight or inaccessible spaces. With interchangeable lens tips and a rotating front element, the Probe II offers unmatched versatility for tabletop, product, and visual effects cinematography.",
Innovision,Probe II Plus,32mm,T6.3,Macro,PL,Super 35,,1x,N/A,40.5mm (internal),4.2lbs,Prime,"The kit includes the extender module, 90-degree module, and all objective lenses. <p><a href=""/lens?family=Probe%20II%20Plus"">More Info</a></p>",Yes,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/2339eca0-8b6c-4194-b974-8d9ba0f8ed6b/5S5A5327+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/8510072f-d4b4-4c67-8246-4710a50e86c4/5S5A5291+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/ae5eeb97-69ef-47f6-be47-8c44bf948e36/5S5A5281+copy.jpg?content-type=image%2Fjpeg","The Innovision Probe II is a specialized lens system designed for extreme close-up and unique point-of-view shots that would be impossible with conventional lenses. Featuring a long, slim barrel and relay optics, it allows operators to capture detailed macro imagery in tight or inaccessible spaces. With interchangeable lens tips and a rotating front element, the Probe II offers unmatched versatility for tabletop, product, and visual effects cinematography.",
Kowa,Prominar Anamorphic,40mm,T2.3,3',PL,Super 35,,2x,80mm,N/A,1.99lbs,Prime,"Super 35 Anamorphic<p><a href=""/lens?family=Prominar%20Anamorphic"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/35ce1cb0-6d85-462e-a0e1-aefbe005e72d/5S5A3203+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/9f37e2bf-10a6-4973-88e8-e9c62382634f/5S5A3093+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/60cc82c2-129c-4450-be23-8a8b85afdcfb/5S5A3122+copy.jpg?content-type=image%2Fjpeg","Originally produced in Japan during the 1970s, Kowa Anamorphic lenses are prized for their lightweight construction, 2x squeeze ratio, and distinctive optical signature.",
